[2023-06-02 15:45:07,985][inference.model_runners][INFO] - Reading checkpoint from /projects/ml/RF2_allatom/lab_model_weights/aa_diffusion.pt
[2023-06-02 15:45:19,361][inference.model_runners][INFO] - Loading checkpoint.
[2023-06-02 15:45:19,599][diffusion][INFO] - No IGSO3 cache found at ./T_200_omega_1000_min_sigma_0_02_min_b_1_5_max_b_2_5_schedule_linear.pkl.
[2023-06-02 15:45:19,599][diffusion][INFO] - Calculating IGSO3.
[2023-06-02 15:46:34,233][__main__][INFO] - Making design /home/lhtran/class/cheme_577/challenge_4/unrelated/output/des_0
[2023-06-02 15:46:34,298][inference.model_runners][INFO] - Using contig: ['70-120']
[2023-06-02 15:46:34,298][inference.model_runners][INFO] - Using sampled mask: ['118-118']
[2023-06-02 15:48:20,238][inference.model_runners][INFO] - 15:48:20: Timestep 136, current sequence: ??????????????????????????????????????????????????????????????G???????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:21,806][inference.model_runners][INFO] - 15:48:21: Timestep 135, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:23,382][inference.model_runners][INFO] - 15:48:23: Timestep 134, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:24,962][inference.model_runners][INFO] - 15:48:24: Timestep 133, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:26,534][inference.model_runners][INFO] - 15:48:26: Timestep 132, current sequence: ????T?????????????????????????????????????G???????????????????G???????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:28,108][inference.model_runners][INFO] - 15:48:28: Timestep 131, current sequence: ????T?????????????????????????????????????????????????????????G??????????????????G????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:29,687][inference.model_runners][INFO] - 15:48:29: Timestep 130, current sequence: ????T?????????????????????????????????????S???????????????????GG?????????????????G?????????????????E?????T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:31,299][inference.model_runners][INFO] - 15:48:31: Timestep 129, current sequence: ????T???????G?????????????????????????????S??????????????????????????????????????G???????????????????????T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:32,887][inference.model_runners][INFO] - 15:48:32: Timestep 128, current sequence: ????????????G??S??????????????????????????S??????????????????????????????????????????????????????????????T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:34,467][inference.model_runners][INFO] - 15:48:34: Timestep 127, current sequence: ????????????G?????????????????????????????S??????????????????????????????????????G???????????????????????T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:36,096][inference.model_runners][INFO] - 15:48:36: Timestep 126, current sequence: ????????????G??S????????????????????E?????S???T??????????S????G??????????????????????????????????????????T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:37,743][inference.model_runners][INFO] - 15:48:37: Timestep 125, current sequence: ????T???????G?QS????????????????????E?????S??????G???????????GG??G???????????????G????????????????????E??T????????????aaaaaaaaaaaaaaa
